restaurant_code,menu_name,price,description
3,얼그레이크림,3500,
3,바닐라라떼,3500,
3,대파크림치즈,3500,
3,누텔라크림,3700,
3,카스테라크림,3700,
3,카페라뗴,5000,
3,카푸치노,5000,
3,모카라떼,5300,
3,크림커피,5500,
3,초코 마들렌,3000,
3,레몬 마들렌,2500,
3,말차 마카다미아 쿠키,3800,
3,초코 쿠키,3500,
3,피스타치오크림,3700,
3,오리지널치즈 [ P ] 4조각,9700,토마토 소스 위에 모짜렐라 치즈
3,페퍼로니 [ P ] 4조각,10700,"토마토 소스,모짜렐라 치즈,페퍼로니"
3,더블페퍼로니 [ P ] 4조각,12800,"토마토 소스,모짜렐라 치즈,페퍼로니"
3,무화과잼고르곤졸라 [ P ] 4조각,11800,"무화과 잼,모짜렐라,고르곤졸라 치즈"
3,통베이컨하와이안 [ P ] 4조각,12800,"토마토 소스,모짜렐라 치즈,통 슬라이스 파인과 통 베이컨"
3,모카 라떼,3800,
3,치즈프라이피자 [ P ] 4조각,12500,"토마토 소스,모짜렐라 치즈,갓 튀김감자,달콤한 시럽,나초 소스,갈릭 디핑 소스,시즈닝,파슬리"
3,크리스콤보 [ P ] 4조각,13700,"토마토소스,모짜렐라 치즈,페퍼로니,구운 파프리카,양파,통옥수수,양송이,올리브,피망,수제 민찌,할라피뇨,미트 햄"
3,마스카포네바질 [ P ] 4조각,12800,"토마토 소스,모짜렐라 치즈,홈메이드 바질 페스토,마스카포네 치즈,그라나파다노"
3,갈릭디핑새우 [ P ] 4조각,13700,"토마토 소스,모짜렐라 치즈,통 새우,통 옥수수,수제 민찌,오크라,구운 파프리카,양파,피망,갈릭디핑 소스,미트햄"
3,라구루꼴라 [ P ] 4조각,13700,"토마토 소스,모짜렐라 치즈,양파,홈메이드 라구 루꼴라,그라나파다노,피망"
3,레귤러 하프앤하프,17700,
3,오리지널치즈 [ R ] 6조각,16700,토마토 소스 위에 모짜렐라 치즈
3,페퍼로니 [ R ] 6조각,17700,"토마토 소스,모짜렐라 치즈,페퍼로니"
3,더블페퍼로니 [ R ] 6조각,18700,"토마토 소스,모짜렐라 치즈,페퍼로니"
3,무화과잼고르곤졸라 [ R ] 6조각,18700,"무화과 잼,모짜렐라,고르곤졸라 치즈"
3,통베이컨하와이안 [ R ] 6조각,19700,"토마토 소스,모짜렐라 치즈,통 슬라이스 파인과 통 베이컨"
3,치즈프라이 [ R ] 6조각,19900,"토마토 소스,모짜렐라 치즈,갓 튀김감자,달콤한 시럽,나초 소스,갈릭 디핑 소스,시즈닝,파슬리"
3,크리스콤보 [ R ] 6조각,21700,"토마토소스,모짜렐라 치즈,페퍼로니,구운 파프리카,양파,통옥수수,양송이,올리브,피망,수제 민찌,할라피뇨,미트 햄"
3,마스카포네바질 [ R ] 6조각,21700,"토마토 소스,모짜렐라 치즈,홈메이드 바질 페스토,마스카포네 치즈,그라나파다노"
3,라구루꼴라 [ R ] 6조각,22700,"토마토 소스,모짜렐라 치즈,양파,홈메이드 라구 루꼴라,그라나파다노,피망"
3,갈릭디핑새우 [ R ] 6조각,23700,"토마토 소스,모짜렐라 치즈,통 새우,통 옥수수,수제 민찌,오크라,구운 파프리카,양파,피망,갈릭디핑 소스,미트햄"
3,한국피자 [ R ] 6조각,22700,"토마토 소스, 모짜렐라 치즈, 피망, 적양파, 수제 불고기, 볶음김치"
3,한국피자 [ P ] 4조각,13700,"토마토 소스, 모짜렐라 치즈, 피망, 적양파, 수제 불고기, 볶음김치"
3,라지 하프앤하프,22700,
3,오리지널치즈 [ L ] 8조각,21700,토마토 소스 위에 모짜렐라 치즈
3,초코라떼,5000,
3,페퍼로니 [ L ] 8조각,22700,
3,더블페퍼로니 [ L ] 8조각,25700,"토마토 소스,모짜렐라 치즈,페퍼로니"
3,무화과잼고르곤졸라 [ L ] 8조각,24700,"무화과 잼,모짜렐라,고르곤졸라 치즈"
3,통베이컨하와이안 [ L ] 8조각,25700,"토마토 소스,모짜렐라 치즈,통 슬라이스 파인과 통 베이컨"
3,치즈프라이피자 [ L ] 8조각,26700,"토마토 소스,모짜렐라 치즈,갓 튀김감자,달콤한 시럽,나초 소스,갈릭 디핑 소스,시즈닝,파슬리"
3,크리스콤보 [ L ] 8조각,26700,"토마토소스,모짜렐라 치즈,페퍼로니,구운 파프리카,양파,통옥수수,양송이,올리브,피망,수제 민찌,할라피뇨,미트 햄"
3,마스카포네바질피자 [ L ] 8조각,27700,"토마토 소스,모짜렐라 치즈,홈메이드 바질 페스토,마스카포네 치즈,그라나파다노"
3,라구루꼴라 [ L ] 8조각,28700,"토마토 소스,모짜렐라 치즈,양파,홈메이드 라구 루꼴라,그라나파다노,피망"
3,갈릭디핑새우 [ L ] 8조각,29700,"토마토 소스,모짜렐라 치즈,통 새우,통 옥수수,수제 민찌,오크라,구운 파프리카,양파,피망,갈릭디핑 소스,미트햄"
