restaurant_code,reviewer_name,reviewer_avg_score,reviewer_rv_cnt,reviewer_follower_cnt,reviewer_score,taste_level,price_level,service_level,review_content,review_menu,keywords
20,맛디터,4.1,101,1,4점,2,2,2,신대방삼거리에서 야외포장마차 감성을 느낄 수 있는 곳. 10번 이상 재방문한 곳. 사장님이 친절하시고 음식이 대체적으로 가격대비 맛이 좋음. 다만 노포 특성상 화장실이 조금 아쉽다.,"번데기탕,고등어구이","저녁식사,술모임,데이트,숨은맛집,서민적인,가성비좋은,시끌벅적한,경관/야경이좋은,애완동물동반"
20,먼지님,4.5,532,47,5점,2,2,2,"진짜  오랜만에 방문했는데 여지없이 맛났어요 화장실이 불편했지만 ....
사모님 음식솜씨 너무줗으셔요.
사장님 친절하시구요 강아지와 편하게 먹을수 있게 해주셨어요","부추전,두부김치,잔치국수","술모임,회식,숨은맛집,서민적인,지역주민이찾는,주차불가"
20,서나라구,4.5,233,4,5점,2,2,2,"가게는 작지만 메뉴시킨것마다 모두 맛있었어요!
작지만 야외테이블도 있고 사장님 부부?두분 친절했어요 .부득이하게 강아지데리고 갔는데 받아주셔서 너무 감사합니다.","두부김치,부추전,잔치국수","저녁식사,식사모임,술모임,혼술,숨은맛집,서민적인,가성비좋은,시끌벅적한,지역주민이찾는,주차불가,야외좌석(테라스)"
20,밍민,4.8,232,2,4.5점,2,2,2,포차느낌제대로된 포차예요 한잔하면서 여러가지 안주있어서 좋아요,전,"저녁식사,서민적인"
20,솢엉,4.6,8,1,4점,2,2,2,"언제나 사람많은 곳. 동네사람들 많은 노포입니당
가격싸고 맛있으나 저는 술마시면 화장실많이가는지라.. 화장실이 대야에 물부어서 내리는 방식이라 매우불편하고 남녀공용입니다. 그래도 가게안에 화장실있다는건 좋아요!
메뉴는 조개탕 시원하니 해장하며 술마실수있고 다른안주들도 실패한적없습니다! 뼈없는 닭발도 뭔가 상상가는맛이아닌 고급진맛..?ㅎㅎ
자주가게됩니다","조개탕,뼈없는닭발","술모임,숨은맛집,시끌벅적한,지역주민이 찾는"
21,우리의나날,4.5,420,2,5점,2,2,2,탕수육 볶음밥 짬뽕 모두 딱 정석의 맛. 여긴 맛집입니다. 다음에 또가서 볶음짬뽕 먹을거에요.,"볶음밥,짬뽕,탕수육","저녁식사,서민적인"
21,졸린곰26,4.1,71,2,4점,1,2,2,오래된 동네맛집 중국집. 전체적으로 달지만 옛날맛을 좋아하면 추천,"짜장면,탕수육","배달,점심식사,저녁식사,가족외식,서민적인,캐주얼한,시끌벅적한,지역주민이찾는,주차불가"
21,맛집마니아아,3.7,139,0,4점,2,2,2,사장님 부부가 친절하세요 맛도 기본적으로 맛있고 동네에서 중국집으로 유명해요 ㅎㅎ,"짜장면,짬뽕,탕수육","배달,점심식사,저녁식사,식사모임,숨은맛집,서민적인,캐주얼한"
21,코어,4.0,257,8,3점,2,1,1,"36년이상 된 오래된 중식당입니다, 이 주변에서 그래도 가장 맛있는 곳이에요","사천탕수육,짜장면","점심식사,저녁식사,식사모임,가족외식,가성비좋은,조용한"
21,돌풍,3.9,53,12,4점,2,1,2,이층에 위치해 찾기 어려울 수 있지만 사장님 내외분이 반갑게 맞이 해주시고 음식도 맛있는 집,짜장면,"배달,식사모임,혼밥,숨은맛집,서민적인,주차불가,개별룸"
22,민스,4.1,933,13,4점,1,2,2,간장맛 나는 돼지고기덮밥입니다. 맛있게 먹었는데 덜 따뜻했어요. 저번에 부타동 먹어보고 맛있어서 또 방문했습니다. 부타마제메시 같은 밥인데 맛이 어떻게 다를까 궁금했는데 삼겹 이 똑같이 올라가는데 재료가 더 다양하니 개인적으로는 이 친 구가 더 맛있더라구요ㅎㅎ 다만 빈숙 없는것이 아쉬워서 담에는 토핑으로 반숙란까지 더해서 더 온전한 맛을 즐겨볼 것 같습니다. 점보 아니어도 삼겹살 왕창 얹어주셔서 나중엔 고기가 더 남았습니다. 라스트오더 8시 30분까지라 밥집치고 길어서 늦은 저녁 먹기 딱 좋았네요. 수제라유 추가하면 더 맛있다던데 비주얼과 달 리 매운거 잘못먹는 저에게도 맛있었답니당 추가해서 드셔보시 길 추천합니다.,부타동,"점심식사,저녁식사"
22,우리의나날,4.5,420,2,5점,2,1,2,오랜만에 부타동 먹으러 방문한 맛집! 정말 맛있어요! 소문났는지 사람도 많더라고요!,부타동,"저녁식사,캐주얼한"
22,Kiikk,4.3,19,0,5점,2,2,1,"스미비부타동은 여러 지점을 찾을 정도로 좋아하는데 신대방삼거리점도 역시 맛있어요 포장, 매장 다 만족해요!","부타동,포장할인","점심식사,데이트,숨은맛집,깔끔한"
22,두부,5.0,2,0,5점,2,2,2,"혼밥 하기 좋은 곳이에요
웨이팅 10분 정도 했습니다!
분위기 넘 좋아요",스미비부타동,"저녁식사,조용한,이국적/이색적"
23,밍민,4.8,232,2,5점,2,2,2,짜조샐러드 맛있네요 샐러드라 뭔가 안정적인ㅎㅎㅎ 술한잔하기좋은장소,짜조샐러드,"저녁식사,캐주얼한"
23,먼지님,4.5,532,47,5점,2,2,2,"가성비 좋은 술집입니다
아주 맛나고 사장님 음식솜씨 좋으셔서 맛나게 잘먹고 왔어요",짜조샐러드,"저녁식사,술모임,숨은맛집,시끌벅적한,주차불가"
24,밍민,4.8,232,2,5점,2,2,2,새우튀김안주인데 바삭하니 맛있어서 자꾸 손이가네요 안주로 먹기 딱 좋아요,새우깡,"술모임,캐주얼한"
